Record ID,Company name,Company owner,Create Date,Phone Number,Last Activity Date,City,Country/Region,Industry,State/Region,Website URL
9553383002,Brunos Pizza,,2022-09-08 11:59,(701) 751-3700,2024-11-20 08:00,Bismark,United States,Restaurants,ND,https://brunosnd.com
9289299610,Julias Vegetarian Restaurant,Kassidy Farrer,2022-08-02 08:37,(831) 656-9533,2025-08-27 10:25,Pacific Grove,United States,Restaurants,CA,juliasveg.com
17105884835,Frenchys Pizzeria,,2023-08-25 14:21,(716) 282-5091,2025-08-27 10:16,Niagara Falls,,,NY,frenchyspizzeria.com
8848470866,SALOMAY,Minwoo Ryum,2022-06-03 21:08, +14696177159,2025-09-05 09:08,McKinney,United States,Restaurants,TX,salomays.com
9787261793,"Russo's | Katy, Bella Terra",Mckay May,2022-10-11 14:53,(713) 821-1322,2025-08-22 08:51,Katy,United States,Restaurants,TX,nypizzeria.com
9678945448,Sammy's House of Pizza,Sean MacCourtney,2022-09-27 15:05,(401) 353-7827,2025-07-22 11:31,North Providence,United States,Restaurants,RI,sammyshouseofpizza.com
9553665328,The Iron Oven,Mckay May,2022-09-08 11:59,(215) 322-1907,2025-08-06 07:53,Southampton,United States,Restaurants,PA,https://www.ironoven.com
8848544045,lionsdenpizzeria.com,Jamison Fox,2022-06-03 21:08,(217) 826-1340,2025-05-06 10:58,Marshall,,,IL,lionsdenpizzeria.com
10409189930,Ronetti’s Pizza,Minwoo Ryum,2022-12-20 16:29, +1 740-852-1950,2025-08-27 14:25,London,United States,Restaurants,OH,londonohiopizza.com
15351211597,Pizza Delizia,Mckay May,2023-03-31 10:20,(716) 655-1900,2025-09-09 14:00,Elma,United States,Restaurants,NY,https://pizzadeliziaitalianclassics.com/
9430155586,Rich's 5 Star Pizza,Mckay May,2022-08-22 11:51,(281) 598-8461,2025-08-15 09:07,Kent,United States,Restaurants,WA,https://richs5starpizza.hungerrush.com
8848460595,622 North,Kemron Searle,2022-06-03 21:07, +1 540-951-1022,2025-08-27 10:13,Blacksburg,United States,Restaurants,VA,622north.com
15337758058,Mission Pizza Napoletana,,2023-03-29 23:51,(336) 893-8217,2025-04-17 08:35,Winston-Salem,,,NC,https://www.missionpizzanapoletana.com/
15351200863,HG Bucks Bagel,Kassidy Farrer,2023-03-31 10:20,(215) 343-4550,2025-09-02 10:09,Warrington,United States,Restaurants,PA,hgcoalfiredpizza.com
8848570934,Mario's Pizza & BBQ (North Aurora),,2022-06-03 21:06,(630) 906-7300,2025-06-11 15:19,North Aurora,United States,Restaurants,IL,mariospizzanorthaurora.com
9744207534,Russo's | Pearland,Mckay May,2022-10-05 10:58,(713) 821-1322,2025-08-05 13:42,Broadway,United States,Restaurants,TX,russos.com
9804373248,Slice Minneapolis,,2022-06-03 21:08,(612) 886-1921,2025-08-27 10:10,Minneapolis,United States,Restaurants,MN,https://slicebrothersusa.com/menu/slice-pizza-northeast-519-east-hennepin-avenue
8848551178,Este Pizza SLC Downtown,,2022-06-03 21:06,(801) 363-2366,2025-04-14 09:07,Salt Lake City,,,UT,https://www.estepizzaco.com/
16791305649,Phillips Group,Chris Hubbard,2023-08-01 10:21,,2025-06-16 10:30,Cockeysville,,,MD,
9667608401,Russo's | Greatwood,Mckay May,2022-09-26 11:17,(281) 545-8100,2025-08-06 11:28,Sugar Land,,,TX,http://www.nypizzeria.com
9166351664,"Russo's | Woodlands, Conroe",Mckay May,2022-07-19 10:38,(936) 273-6060,2025-08-27 10:13,Tomball,,,TX,http://www.nypizzeria.com
9697416559,Payne's Pizza,Dallas Williams,2022-09-29 17:03,(740) 363-9040,2025-09-08 09:40,Delaware,,,OH,https://www.paynespizza.com/
15034019690,Avellino’s Pizza & Catering,,2023-03-09 14:00,(516) 307-1313,2025-08-27 10:03,Garden City South,,,NY,https://www.avellinospizzamenu.com
8848561180,Caitlin's,,2022-06-03 21:07,(303) 798-6600,2025-04-04 09:07,Denver,,,CO,http://www.caitlinsrestaurant.com/
