Record ID,Company name,Company owner,Create Date,Phone Number,Last Activity Date,City,Country/Region,Industry,State/Region,Website URL
17175023745,The StopAlong,Mckay May,2023-08-31 12:00,6156185093,2025-09-09 08:14,Chicago,,,IL,https://www.thestopalong.com/
17105884835,Frenchys Pizzeria,,2023-08-25 14:21,(716) 282-5091,2025-08-27 10:16,Niagara Falls,,,NY,frenchyspizzeria.com
9787261793,"Russo's | Katy, Bella Terra",Mckay May,2022-10-11 14:53,(713) 821-1322,2025-08-22 08:51,Katy,United States,Restaurants,TX,nypizzeria.com
9553665328,The Iron Oven,Mckay May,2022-09-08 11:59,(215) 322-1907,2025-08-06 07:53,Southampton,United States,Restaurants,PA,https://www.ironoven.com
15351211597,Pizza Delizia,Mckay May,2023-03-31 10:20,(716) 655-1900,2025-09-09 14:00,Elma,United States,Restaurants,NY,https://pizzadeliziaitalianclassics.com/
9430155586,Rich's 5 Star Pizza,Mckay May,2022-08-22 11:51,(281) 598-8461,2025-08-15 09:07,Kent,United States,Restaurants,WA,https://richs5starpizza.hungerrush.com
8848460595,622 North,Kemron Searle,2022-06-03 21:07,+1 540-951-1022,2025-08-27 10:13,Blacksburg,United States,Restaurants,VA,622north.com
15337758058,Mission Pizza Napoletana,,2023-03-29 23:51,(336) 893-8217,2025-04-17 08:35,Winston-Salem,,,NC,https://www.missionpizzanapoletana.com/
15351200863,HG Bucks Bagel,Kassidy Farrer,2023-03-31 10:20,(215) 343-4550,2025-09-02 10:09,Warrington,United States,Restaurants,PA,hgcoalfiredpizza.com
8848570934,Mario's Pizza & BBQ (North Aurora),,2022-06-03 21:06,(630) 906-7300,2025-06-11 15:19,North Aurora,United States,Restaurants,IL,mariospizzanorthaurora.com
9744207534,Russo's | Pearland,Mckay May,2022-10-05 10:58,(713) 821-1322,2025-08-05 13:42,Broadway,United States,Restaurants,TX,russos.com
8848551178,Este Pizza SLC Downtown,,2022-06-03 21:06,(801) 363-2366,2025-04-14 09:07,Salt Lake City,,,UT,https://www.estepizzaco.com/
9667608401,Russo's | Greatwood,Mckay May,2022-09-26 11:17,(281) 545-8100,2025-08-06 11:28,Sugar Land,,,TX,http://www.nypizzeria.com
9166351664,"Russo's | Woodlands, Conroe",Mckay May,2022-07-19 10:38,(936) 273-6060,2025-08-27 10:13,Tomball,,,TX,http://www.nypizzeria.com
15034019690,Avellino’s Pizza & Catering,,2023-03-09 14:00,(516) 307-1313,2025-08-27 10:03,Garden City South,,,NY,https://www.avellinospizzamenu.com
8848561180,Caitlin's,,2022-06-03 21:07,(303) 798-6600,2025-04-04 09:07,Denver,,,CO,http://www.caitlinsrestaurant.com/
9778825387,Carollos' Family Restaurant,Sean MacCourtney,2022-10-10 19:03,8563025991,2025-07-28 11:29,Berlin,,,NJ,carollosturnersville.com
15845142277,New York J&P Pizza | Spring Ridge,Chris Hubbard,2023-05-24 13:31,+1 (301) 317-8444,2025-07-09 10:21,Frederick,United States,Restaurants,MD,https://www.newyorkjandppizza.com
10537620845,East of Chicago (Sugarcreek),Sean MacCourtney,2023-01-04 11:27,(330) 852-0555,2025-08-27 10:03,Sugarcreek,United States,,OH,https://eastofchicago.m.takeout7.com/restaurant-menu
15381173939,Carluccis,Kassidy Farrer,2023-04-04 10:40,,2025-09-09 10:35,Mt Laurel Township,United States,Restaurants,NJ,https://carlucciswaterfront.com/?y_source=1_OTY5Nzk2MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
15969193134,Victoria's Pizzeria,Sean MacCourtney,2023-06-05 13:54,(781) 383-2777,2025-03-19 14:12,Cohasset,United States,Restaurants,MA,https://www.victoriaspizzeria.com/
9391898703,Russo's | Meyerland,Mckay May,2022-08-16 08:50,19495001569,2025-08-29 12:02,Houston,,,TX,mysocialfairy.com
9326283374,Zizi Ramen Sushi,,2022-08-05 12:05,,2022-10-10 07:51,Dallas,United States,,TX,https://www.ziziramensushi.com
17061495914,9 Miles East Farm Pizza,Mckay May,2023-08-22 09:55,(518) 223-9872,2025-08-27 10:08,Saratoga Springs,United States,Restaurants,NY,9mileseast.com
10923417013,Pizza in the Neighbor Hood,,2023-01-24 08:34,(386) 518-5656,2025-04-14 09:29,Alachua,United States,Restaurants,FL,https://www.pizzainthehood.com
10735496770,Station 34,,2023-01-13 08:51,(847) 873-1230,2025-08-27 10:13,Mt Prospect,United States,,IL,station34pizzapub.com
9847485250,Uncle Chip's,,2022-10-19 11:39,(202) 999-4990,2025-07-24 11:16,Washington,United States,Food & Beverages,DC,unclechips.com
9812827220,Home Plate Grill,,2022-10-14 11:07,(805) 845-3323,2024-11-20 08:00,Goleta,United States,Restaurants,CA,homeplategoleta.com
15351173560,Bear Pizza and More,,2023-03-31 10:20,(707) 961-0580,2024-11-20 08:00,Fort Bragg,,,CA,http://(No value)
9675846662,West Main Pizza,Chris Hubbard,2022-09-27 08:47,(218) 784-3700,2025-08-25 10:11,Ada,United States,Restaurants,MN,westmainpizza.net
9827402365,Moscatos Pizza (Belvidere),Kassidy Farrer,2022-10-17 11:37,(815) 547-9100,2025-09-05 11:51,Belvidere,United States,Restaurants,IL,moscatospizza.com
16821343263,Friedman's,Chris Hubbard,2023-08-03 14:05,(212) 971-9400,2025-07-03 08:15,New York,United States,Restaurants,NY,https://www.friedmansrestaurant.com/location/chelsea-friedmans-restaurant/
17060071522,Little Italy Pizza & Pasta,Tyler Beagley,2023-08-22 08:43,(325) 475-4201,2025-09-08 09:17,Dyess Air Force Base,United States,,TX,littleitalyexpress.com
10804882873,Milwaukee Street Pizza,Kassidy Farrer,2023-01-16 10:48,16082019189,2025-09-02 10:36,Janesville,United States,Restaurants,WI,https://www.milwaukeestreetpizza.com
9255993203,Cagney's Pizza King,Kassidy Farrer,2022-07-28 08:48,(317) 392-4677,2025-08-27 15:59,Shelbyville,United States,Restaurants,IN,cagneyspizza.com
10231154709,Baldarotta's Porketta & Sicilian Sausage,Mckay May,2022-09-28 17:03,(217) 800-5726,2025-08-27 10:21,Urbana,United States,Restaurants,IL,baldarottas.com
12506375605,Big Horn Merc Pizza,Mckay May,2023-02-10 10:54,(307) 672-5534,2025-08-06 07:45,Big Horn,United States,Restaurants,WY,https://bighornmerc.com
16791305500,Zulu Grille,Dallas Williams,2023-08-01 10:18,8019016492,2025-07-29 10:31,Lehi,,,UT,https://www.zulugrille.com/
16821344112,Suram,,2023-08-03 14:19,,2024-04-24 11:30,New York,United States,Restaurants,NY,https://www.suramsushi.com/
16688518758,The Chef and I,,2023-07-24 11:55,(615) 618-2661,2025-04-25 09:55,Nashville,United States,Restaurants,TN,https://www.thechefandinashville.com/
16822695008,Wu and Nussbaum,Chris Hubbard,2023-08-03 14:10,+1 201-472-0037,2025-07-02 10:44,New York,United States,,NY,https://www.wuandnussbaum.getsauce.com/?utm_source=GMB&utm_medium=Website+Button&utm_id=wuandnussbaum
9189005651,Uncle Spike's Pizzeria,,2022-07-21 12:50,(330) 954-9724,2025-04-14 09:06,Aurora,,,OH,https://www.unclespikespizzeria.com/
15418077723,"Cuzzo's Pasta, Pizza, Panini, & More",Kassidy Farrer,2023-04-08 15:44,,2025-08-15 14:11,Oak Park,United States,Restaurants,IL,https://slicelife.com/restaurants/il/oak-park/60302/cuzzo-s-pasta-pizza-more/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=cuzzosoakpark.comindex.html
8848524416,Scuola Pizza,Chris Hubbard,2022-06-03 21:07,+1(352)451-4122,2025-09-03 08:38,Gainesville,United States,,FL,scuolapizzagainesville.com
9326283276,Pho Midway,Sean MacCourtney,2022-08-05 12:02,(972) 685-9949,2025-08-11 13:19,Dallas,United States,Restaurants,TX,phomidway.com
17176808750,Buzzo Pizza,,2023-08-31 16:35,(831) 316-7336,2024-03-15 08:00,Soquel,United States,,CA,https://www.buzzopizza.com/
17519402811,Village Host Pizza & Grill Aptos,,2023-09-29 10:15,(650) 591-6791,2024-11-20 08:00,Aptos,United States,Restaurants,CA,villagehost.com
17736061479,Seven Nine Four,,2023-10-19 15:06,(231) 288-1791,2025-08-27 10:09,Muskegon,United States,Restaurants,MI,https://www.jpn-restaurants.com/menus/topshelf-downtown/
19332746835,Punjabi Dhaba Restaurant,Sean MacCourtney,2024-03-01 14:29,,2025-08-27 10:20,Cambridge,United States,Restaurants,MA,punjabidhaba.co
17645259955,Fiery Nashville Hot Chicken,,2023-10-11 14:59,6462883845,2025-07-07 09:28,Plano,United States,Restaurants,TX,fierynashvillechicken.com
20488143160,"Drinky Dynasty, INC DBA Ginger Ale's",Sean MacCourtney,2024-04-26 14:38,2176634106,2025-07-30 11:10,Olney,,,IL,http://mygingerales.com
18833703554,Salerno's Pizzeria & Sports Bar (Hodgkins),,2024-01-24 13:53,(708) 354-0099,2025-04-14 09:06,Hodgkins,United States,Restaurants,IL,https://www.salernopizza.com/hodgkins
17956145238,Baby Jakes Pizza,Dallas Williams,2023-11-06 12:23,(810) 412-5444,2025-08-27 10:22,Davison,United States,Restaurants,MI,babyjakespizza.com
18623083804,La Buena Empanada,,2024-01-04 17:04,(425) 522-8362,2025-08-27 10:04,Washington,United States,Restaurants,DC,labuenaempanada.com
20722377535,Whiffle Boy’s Pizza (Murphysboro),Sean MacCourtney,2024-05-09 09:39,,2025-07-28 08:28,Murphysboro,United States,Restaurants,IL,whiffleboyspizza.com
18741883648,Tivoli,Kassidy Farrer,2024-01-16 16:11,(203) 403-3265,2025-09-02 13:39,Ridgefield,United States,,CT,brickhouseridgefield.com
17955097646,Lon U,,2023-11-06 10:15,(770) 441-0200,2025-04-16 09:08,Peachtree Corners,,,GA,lonunorcrosstogo.com
19420392592,Fox's Pizza Den | Michael Kumanchik,Dallas Williams,2024-03-07 15:36,724-698-7342,2025-06-26 08:07,New Castle,United States,Restaurants,PA,https://www.foxspizza.com/store/pennsylvania/new-castle-pa/
17521818945,Fratellis Pizzeria,Kassidy Farrer,2023-09-29 12:54,6094786800,2025-08-29 13:35,Sea Isle City,United States,Restaurants,NJ,fratellispizzeria.net
17520275307,Village Host Pizza & Grill Capitola,Chris Hubbard,2023-09-29 10:12,(650) 591-6791,2025-08-14 14:19,Capitola,United States,Restaurants,CA,villagehost.com
17522167629,Vintage Restaurant,Chris Hubbard,2023-09-29 14:28,(301) 228-0878,2025-08-29 14:10,New Market,United States,Restaurants,MD,https://www.vintage-eats.com/
19000553911,New York J&P Pizza (Damascus),Chris Hubbard,2024-02-06 17:09,(301) 253-1600,2025-06-27 13:40,Damascus,United States,Restaurants,MD,https://damascusjandp.com/
19615857934,Russo's | Morton Ranch,Mckay May,2024-03-20 10:50,(281) 396-4694,2025-08-04 07:58,Katy,United States,Restaurants,TX,https://nypizzeria.com/locations/morton-ranch/
20488546315,Buttermilk Sky Pie (Mansfield & Fort Worth),Sean MacCourtney,2024-04-26 17:56,(615) 472-8075,2025-09-05 11:04,Mansfield,United States,Food & Beverages,TX,buttermilkskypie.com
18805896876,Millie's Pizza,,2024-01-22 13:29,(413) 532-5300,2025-08-27 10:18,Norwell,,,MA,mymilliespizza.com
20117876318,BK's Pizza Express,,2024-04-05 15:06,(410) 766-3800,2025-02-14 06:49,Glen Burnie,,Restaurants,MD,bkspizza.com
19736533282,Pizzeria Maki,Sean MacCourtney,2024-03-28 10:15,,2025-08-04 14:07,Wilmington,United States,Restaurants,DE,pizzeriamaki.com
17819414621,Terry Ho's Quick,,2023-10-26 08:08,(706) 507-5062,2025-04-14 09:06,Columbus,United States,Restaurants,GA,terryhosqk.com
20584660147,Old Town Pizza Co (Schaumburg),Sean MacCourtney,2024-05-01 14:48,8477810820,2025-05-16 13:36,Schaumburg,United States,Restaurants,IL,oldtownpizzaco.com
18999793966,Russo's | New Caney,Mckay May,2024-02-06 15:45,(281) 354-4815,2025-08-05 13:42,New Caney,United States,Restaurants,TX,https://nypizzeria.com/locations/new-caney/
18923842723,Papa Joe’s Italian Cuisine (Lockport),Mckay May,2024-01-31 08:59,(708) 403-9099,2025-08-22 08:08,Lockport,United States,Restaurants,IL,papajoesrestaurant.com
18454634921,Kosher Charlotte / HaPina,,2023-12-18 11:28,(704) 944-6827,2025-04-22 09:05,Charlotte,United States,Food & Beverages,NC,koshercharlotte.com
18923691437,Papa Joe’s Italian Cuisine (Orland Park),Mckay May,2024-01-31 08:22,(708) 403-9099,2025-08-27 10:23,Orland Park,United States,Restaurants,IL,papajoesrestaurant.com
